"Livsmedelsverkets livsmedelsdatabas version 2023-06-13";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Näringsinnehåll per 100 gram livsmedel";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Livsmedelsnamn";"Livsmedelsnummer";"Gruppering";"Energi (kcal)";"Energi (kJ)";"Fett, totalt (g)";"Protein (g)";"Kolhydrater, tillgängliga (g)";"Fibrer (g)";"Vatten (g)";"Alkohol (g)";"Aska (g)";"Sockerarter, totalt (g)";"Monosackarider (g)";"Disackarider (g)";"Tillsatt socker (g)";"Fritt socker (g)";"Fullkorn totalt (g)";"Summa mättade fettsyror (g)";"Fettsyra 4:0-10:0 (g)";"Laurinsyra C12:0 (g)";"Myristinsyra C14:0 (g)";"Palmitinsyra C16:0 (g)";"Stearinsyra C18:0 (g)";"Arakidinsyra C20:0 (g)";"Summa enkelomättade fettsyror (g)";"Palmitoljesyra C16:1 (g)";"Oljesyra C18:1 (g)";"Summa fleromättade fettsyror (g)";"Linolsyra C18:2 (g)";"Linolensyra C18:3 (g)";"Arakidonsyra C20:4 (g)";"EPA (C20:5) (g)";"DPA (C22:5) (g)";"DHA (C22:6) (g)";"Kolesterol (mg)";"Vitamin A (RE/µg)";"Retinol (µg)";"Betakaroten/β-Karoten (µg)";"Vitamin D (µg)";"Vitamin E (mg)";"Vitamin K (µg)";"Tiamin (mg)";"Riboflavin (mg)";"Niacin (mg)";"Niacinekvivalenter (NE/mg)";"Vitamin B6 (mg)";"Folat (µg)";"Vitamin B12 (µg)";"Vitamin C (mg)";"Fosfor, P (mg)";"Jod, I (µg)";"Järn, Fe (mg)";"Kalcium, Ca (mg)";"Kalium, K (mg)";"Magnesium, Mg (mg)";"Natrium, Na (mg)";"Salt, NaCl (g)";"Selen, Se (µg)";"Zink, Zn (mg)";"Avfall (skal etc.) (%)"
"Kycklingsoppa thailändsk";1206;"Rätter";70;292;3.5;7.8;1.5;0.5;85.8;0;0.9;0.6;0.3;0.3;0;0;0;2.1;0.3;0.9;0.3;0.4;0.1;0;0.9;0.1;0.8;0.3;0.2;0.1;0;0;0;0;24.4;7.2;5;26;0.08;0.6;;0.04;0.05;3.26;4.68;0.14;10.8;0.08;2.8;72;1.8;0.5;10;73;14;181;0.5;4.3;0.5;1
"Kyckling nugget friterad tillagad på restaurang";1207;"Kyckling, fågel";221;924;10.4;16.8;14.2;1.4;55.3;0;1.9;0.3;0.1;0.2;0;0;0;2;0;0;0;1.3;0.6;0;6.1;0.2;5.7;1.6;1.3;0.2;0;0;0;0;60.5;12.8;12.4;4;0.1;0.5;2.6;0.11;0.13;6.82;9.9;0.34;18.1;0.18;0;243;3;0.5;24;257;24;476;1.2;9.1;0.8;0
"Kycklingsoppa tillagad redd pulver m. vatten mjölk";1208;"Rätter";51;214;2.4;1.9;5.1;1;88.3;0;1.4;2;0.1;1.9;1;1;0;1.1;0.1;0;0.1;0.6;0.3;0;1;0;1;0.1;0.1;0;0;0;0;0;4;18.1;5.8;148;0.1;0.3;;0.14;0.06;0.19;0.53;0.03;18.5;0.05;0;47;;0.1;35;81;11;474;1.2;1.3;0.2;0
"Kycklingsoppa tillagad redd pulver m. vatten";1209;"Rätter";40;167;1.3;0.6;5.8;1;90.1;0;1.1;0.5;0.1;0.4;0;0;0;0.3;0;0;0;0.1;0.2;0;0.9;0;0.8;0.1;0.1;0;0;0;0;0;1;12.3;0;148;0;0.3;;0.51;0.01;0.12;0.23;0.01;14;0.04;0;12;1.4;0.1;8;16;11;408;1;0.6;0.1;0
"Kalvbuljong pasta el. pulver storhushåll";1210;"Smaksättare";222;929;8;18.8;18.5;0;6;0;48.8;4.5;4.5;0;4;4;0;4;0;0;0.4;2;1.6;0;3.2;0.4;2.8;0.4;0.4;0;0;0;0;0;0;31.3;31.3;0;0.31;0;;0.1;0.02;0.5;3.94;0;62.7;3.31;0;219;6;0.6;57;513;63;18733;46.8;0;0;0
"Kalvbuljong pasta el. pulver lågsalt storhushåll";1211;"Smaksättare";292;1224;5.5;25;35;0;3.6;0;30.8;4.5;4.5;0;4;4;0;2.8;0;0;0.3;1.4;1.1;0;2.2;0.3;1.9;0.3;0.3;0;0;0;0;0;0;32;32;0;0.32;0;;0;0;6.4;10.98;0;63;3.21;0;225;3;0.7;100;700;64;11500;28.8;0;0;0
"Köttbuljong pasta el. pulver storhushåll";1212;"Smaksättare";201;841;5;15.2;23.4;0;5.1;0;51.3;11;2;9;11;11;0;2.5;0;0;0.3;1.3;1;0;2;0.3;1.8;0.3;0.3;0;0;0;0;0;0;32;32;0;0.32;0;;0;0;0.03;2.83;0;63;3.16;0;221;15;0.4;40;797;63;19525;48.8;0;0;0
"Köttbuljong pasta el. pulver lågsalt storhushåll";1213;"Smaksättare";239;1000;4.5;10;39;0;3.1;0;43.4;11;2;0;11;11;0;2.3;0;0;0.2;1.1;0.9;0;1.8;0.2;1.6;0.2;0.2;0;0;0;0;0;0;0;0;0;0;0;;0;0;6.5;8.33;0;63;3.23;0;226;5;0.3;100;1000;65;16200;40.5;0;0;0
"Skinkbuljong pasta el. pulver storhushåll";1214;"Smaksättare";249;1042;13;19.5;13.5;0;3.4;0;50.6;3;3;0;3;3;0;6.5;0;0;0.7;3.3;2.6;0;5.2;0.7;4.6;0.7;0.7;0;0;0;0;0;0;32;32;0;0.32;0;;0.4;1.7;5.6;9.18;0;63;3.22;0;225;6;1.9;56;628;64;19350;48.4;0;0;0
"Hönsbuljong pasta el. pulver lågsalt storhushåll";1215;"Smaksättare";320;1337;15;14;32;0;2.4;0;36.6;3.5;0;3.5;4;4;0;4.3;0;0;0.2;3.2;0.8;0;8;0.9;7;2.7;2.5;0.2;0;0;0;0;0;49;49;0;0.49;0;;0;0;9.8;12.37;0;97.1;4.88;0;146;4;0.6;100;500;49;13900;34.8;0;0;0
"Hönsbuljong pasta el. pulver storhushåll";1216;"Smaksättare";238;995;12.7;14.7;16.2;0;2.9;0;53.5;3.5;0;0;4;4;0;3.6;0;0;0.2;2.7;0.7;0;6.7;0.7;5.9;2.3;2.1;0.1;0;0;0;0;0;48.6;48.6;0;0.49;0;;0.2;0.45;3.1;5.8;0;97.1;4.86;0;146;15;1.4;11;279;49;20800;52;0;0;0
"Köttbuljong pulver tärning";1217;"Smaksättare";128;536;3;20;5;0;4;0;68;11;2;9;11;11;0;1.5;0;0;0.1;0.8;0.6;0;1.2;0.1;1.1;0.1;0.1;0;0;0;0;0;4;0;0;0;0;0;;0.05;0.33;12;15.67;0.5;100;0;0;430;15;2.9;60;170;120;24000;60;0;1.8;0
"Köttbuljong konserv. ätf.";1218;"Smaksättare";7;28;0.2;1.2;0;0;97.9;0;0.7;0.2;0;0.2;0;0;0;0.1;0;0;0;0;0;0;0.1;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0.01;0.5;0.72;0.01;2;0;0;9;0.3;1.3;5;14;2;183;0.5;0;0.2;0
"Gelatinblad el. gelatinpulver";1219;"Övrigt";350;1466;0.1;86;0;0;12.6;0;1.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;15.77;0.01;0;0;0;0;5;0;11;22;33;32;0.1;1;0.2;0
"Köttbuljong tärning ätf.";1222;"Smaksättare";4;16;0.1;0.3;0.5;0;98.1;0;1;0.2;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6;0.6;0;0.01;0;;0;0;0;0.06;0;1.2;0.06;0;4;1.5;0;5;16;2;385;1;0;0;0
"Köttbuljong ätf.";1223;"Smaksättare";8;35;0.2;0.4;1.2;0;97;0;1.2;0.2;0;0.2;0;0;0;0.1;0;0;0;0;0;0;0.1;0;0.1;0;0;0;0;0;0;0;0;1;1;0;0.01;0;;0;0;0.2;0.27;0;2;0.1;0;7;0.1;0.1;4;11;2;225;0.6;0;0;0
"Hönsbuljong ätf.";1224;"Smaksättare";5;20;0.3;0.3;0.2;0;98;0;1.2;0;0;0;0;0;0;0.2;0;0;0;0;0.1;0;0.1;0;0.1;0;0;0;0;0;0;0;0;1;1;0;0.01;0;;0;0;0.2;0.26;0;2;0.1;0;3;0.3;0.1;5;4;1;310;0.8;0;0;0
"Ägg rått";1225;"Ägg, rom, kaviar";137;575;9.7;12.2;0.4;0;76.3;0;0.8;0.4;0.4;0;0;0;0;2.6;0;0;0;1.9;0.7;0;4;0.2;3.7;1.5;1.1;0.1;0.1;0;0;0.1;340;233.2;233;0;3.7;5.6;30.2;0.08;0.45;0;3.1;0.1;85.8;1.47;0;184;42;1.7;52;132;12;142;0.4;22.6;1.3;12
"Äggula rå";1226;"Ägg, rom, kaviar";319;1334;28.6;15.6;0.6;0;49;0;2.3;0.6;0.3;0.3;0;0;0;7.6;0;0;0.1;5.5;1.9;0;11.7;0.7;10.9;4.3;3.2;0.3;0.4;0;0;0.3;992;702.5;702;0;9.12;16.7;80.8;0.23;0.57;0;3.9;0.23;241;3.88;0;522;76;3.1;141;108;14;65;0.2;58.6;3.4;0
"Äggvita rå";1227;"Ägg, rom, kaviar";41;172;0;10.1;0;0;89.3;0;0.6;0.4;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0.45;0.1;2.63;0;3;0.1;0;11;4;0;11;137;9;152;0.4;20;0;0
"Fransk omelett m. grädde";1229;"Rätter";238;998;21.6;10.6;1.2;0;64.6;0;1.7;1.2;0.3;0.9;0;0;0;7.2;0.5;0.2;0.8;4.1;1.4;0;8.8;0.4;8.2;3.3;2.5;0.6;0.1;0;0;0.1;297.1;264.5;259.6;57;2.86;6.5;;0.06;0.34;0.01;2.69;0.08;50.2;1.23;0.1;169;77.1;1.4;65;137;12;459;1.2;18.8;1.2;9
"Fransk omelett m. vatten";1230;"Rätter";174;729;14.9;10.1;0.3;0;72.6;0;1.6;0.3;0.3;0;0;0;0;2.8;0;0;0;2;0.7;0;7.2;0.2;6.8;3.2;2.4;0.6;0.1;0;0;0.1;282.2;204.3;203.4;8;2.89;6.4;;0.06;0.32;0;2.57;0.07;49.8;1.16;0;154;76.7;1.4;45;110;10;460;1.2;18.8;1.1;9
"Sufflé gräddad u. fyllning veg.";1231;"Rätter";171;714;11.4;11.1;6;0.2;69.2;0;2;2.5;0.1;2.4;0;0;0;5;0.6;0.2;0.6;2.6;0.9;0;3.9;0.2;3.6;1.3;1;0.2;0;0;0;0;126;134.3;131.7;31;1.03;2.5;;0.05;0.25;0.08;2.7;0.05;26.3;1.01;0.4;212;49.8;0.6;224;145;17;373;1;10.7;1.3;4
"Äggakaka";1232;"Rätter";125;523;6.4;6.9;9.9;0.3;75.1;0;1.4;3.4;0.1;3.3;0;0;0;1.8;0.1;0;0.1;1.1;0.4;0;2.7;0.1;2.5;1.1;0.9;0.2;0;0;0;0;109.8;86;84.9;12;1.7;2.3;;0.06;0.21;0.12;1.75;0.06;25.2;0.77;0.6;134;48;0.6;97;160;13;288;0.7;9;0.7;3
"Ägg stekt";1233;"Ägg, rom, kaviar";194;813;15.7;13.3;0.4;0;69.1;0;0.9;0.4;0.4;0;0;0;0;3.3;0;0;0;2.4;0.8;0;7.2;0.3;6.8;3.1;2.3;0.5;0.1;0;0;0.1;369.4;261.4;260.7;6;3.63;7.4;;0.07;0.42;0;3.37;0.1;65.3;1.52;0;200;45.6;1.8;57;143;13;164;0.5;24.6;1.4;11
"Skinklåda m. mjölk ost";1235;"Rätter";93;388;3.6;7.3;7.2;1.2;79;0;1.7;2.7;1.3;1.5;0;0;0;1.7;0.2;0.1;0.2;0.9;0.3;0;1.1;0.1;1;0.3;0.2;0;0;0;0;0;57.5;64;47.8;194;0.48;1.1;;0.15;0.14;1.58;3.12;0.15;23.2;0.45;7.7;144;19;0.5;92;272;18;328;0.8;5.5;0.8;2
"Torsksufflé";1236;"Rätter";128;539;3.2;20.2;4.6;0.1;70.1;0;2.5;2.1;0.1;2;0;0;0;1.1;0.1;0;0.1;0.7;0.2;0;1;0.1;0.9;0.5;0.3;0;0;0;0;0.2;113.2;55;54.5;5;1.86;1.7;;0.06;0.16;1.97;5.92;0.08;24.3;0.97;0.3;274;222.9;0.5;72;310;32;498;1.3;29.6;1;17
"Kolja rå";1237;"Fisk, skaldjur";79;329;0;19.4;0;0;79.8;0;1.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60.5;0;0;0;1.48;0.4;0;0.05;0.04;5.04;8.3;0.34;11.5;1.73;0;199;112;0.1;6;523;26;46;0.1;29.8;0.3;52
"Kummel rå";1238;"Fisk, skaldjur";71;295;0.4;16.5;0;0;81.8;0;1.3;0;0;0;0;0;0;0.1;0;0;0;0.1;0;0;0.1;0;0.1;0.1;0;0;0;0;0;0.1;50;10;10;0;0.7;0.4;;0.1;0.2;3;6.03;0.18;12;1.3;0;142;120;0.5;41;365;24;74;0.2;20;0.3;57
"Siklöja rå";1240;"Fisk, skaldjur";135;564;6.5;19;0;0;73.2;0;1.3;0;0;0;0;0;0;1.8;0;0;0.3;1.3;0.2;0;1.5;0.5;0.9;2.5;0.2;0.4;0.2;0.5;0.1;0.7;50;8;8;0;4;1.5;;0.07;0.07;4;7.48;0.12;9;4;0;265;25.9;0.9;89;330;25;56;0.1;26;4;31
"Sill rå";1241;"Fisk, skaldjur";148;617;9;16.7;0;0;71.2;0;1.8;0;0;0;0;0;0;2;0;0;0.6;1.1;0.1;0;3.7;0.4;0.8;2.3;0.2;0.2;0.1;0.4;0.1;0.9;57;6.4;6.4;0;5.78;0.7;0.4;0;0.21;4.96;8;0.3;11;8.78;0;276;41.5;0.6;56;334;36;198;0.5;25.2;1.4;30
"Flundra rå";1242;"Fisk, skaldjur";94;392;2.2;18.3;0;0;78.5;0;1;0;0;0;0;0;0;0.4;0;0;0;0.3;0.1;0;0.5;0.1;0.1;0.6;0;0;0;0.2;0;0.2;58;14;14;0;0.8;1;;0.22;0.21;4;7.36;0.17;11;1.2;0;172;15.7;0.3;41;340;32;65;0.2;24;0.5;31
"Strömming rå";1243;"Fisk, skaldjur";108;453;4;18;0;0;75.7;0;1.6;0;0;0;0;0;0;1;0;0;0.2;0.7;0.1;0;1.4;0.2;0.7;1.3;0.1;0.1;0;0.3;0;0.5;73.6;16.9;16.9;0;8.19;0.8;0.2;0.01;0.17;3.78;7.05;0.23;17.6;9.3;0;277;29.5;0.8;72;410;32;66;0.2;25.7;1.8;42
"Röding rå";1244;"Fisk, skaldjur";151;632;7.9;19.9;0;0;70.4;0;1.6;0;0;0;0;0;0;1.4;0;0;0.3;0.9;0.2;0;3.1;0.5;1.7;2.5;0.4;0.2;0.1;0.5;0.1;0.8;57.8;18;18;0;5.85;1.6;3.5;0.1;0.09;5.95;9.6;0.47;26;1.82;0;250;20;0.2;14;379;27;46;0.1;21.8;0.6;22
"Torsk rå";1246;"Fisk, skaldjur";78;328;0.5;18.2;0;0;81;0;1.1;0;0;0;0;0;0;0.1;0;0;0;0.1;0;0;0;0;0;0.2;0;0;0;0;0;0.2;48.4;2.3;2.3;0;1.84;0.7;0;0.05;0.05;2.16;5.5;0.14;14;1.41;0;217;180;0.1;12;402;27;59;0.2;27.3;0.6;34
"Vitling rå";1247;"Fisk, skaldjur";80;333;0.6;18.3;0;0;79.9;0;1.2;0;0;0;0;0;0;0.1;0;0;0;0.1;0;0;0.2;0;0.1;0.2;0;0;0;0;0;0.1;50;3;3;0;0.7;0.2;;0.05;0.05;2;5.36;0.18;12;0.8;0;183;278;0.3;50;370;24;50;0.1;25;0.5;52
"Ål rå";1248;"Fisk, skaldjur";369;1544;32.5;17.3;2.8;0;46;0;1.4;0;0;0;0;0;0;6.2;0;0;2;3.6;0.6;0;4.6;1;3.6;7;0.4;0;0.5;2.2;0.4;3.5;126;600;600;0;23;8;;0.2;0.04;3.5;6.4;0.3;15;3;2;200;43;0.7;19;270;19;89;0.2;56;0.5;20
"Öring odlad rå";1249;"Fisk, skaldjur";166;693;10;19;0;0;70;0;1.2;0;0;0;0;0;0;2;0;0;0.4;1.3;0.2;0;3.5;0.5;1.8;3.2;0.4;0.1;0.2;0.6;0.2;1.2;50;32;32;0;6.9;1.1;0;0.21;0.13;6.9;10.4;0.49;5;4.8;0;216;0;0.3;10;420;27;48;0.1;30;0.5;30
"Pinklax rå";1250;"Fisk, skaldjur";105;438;2;21.4;0;0;75.8;0;1.2;0;0;0;0;0;0;0.2;0;0;0;0.2;0;0;0.6;0;0.1;0.5;0;0;0;0.1;0;0.2;48.2;6.9;6.9;0;8.23;0.4;0;0.24;0.11;6.35;10.3;0.45;26;2.27;0;263;19;0.3;11;365;30;49;0.1;26;0.4;35
"Piggvar rå";1251;"Fisk, skaldjur";83;347;1.7;16.7;0;0;80.4;0;1.2;0;0;0;0;0;0;0.4;0;0;0;0.2;0;0;0.4;0.1;0.2;0.8;0.1;0;0;0.2;0;0.1;50;14;14;0;2.04;0.8;;0.02;0.15;3;6.06;0.22;11;1;0;159;35;0.5;17;290;45;114;0.3;25;0.2;51
"Sik urtagen varmrökt";1252;"Fisk, skaldjur";132;554;5;21.8;0;0;69.7;0;3.5;0;0;0;0;0;0;1.1;0;0;0.2;0.8;0.2;0;1.5;0.4;1;1.8;0.2;0.1;0.1;0.3;0.1;0.6;51.7;21;21;0;10.6;1.1;;0.11;0.13;3.1;7.1;0.25;4.6;4.8;0;274;11;0.5;29;202;33;1090;2.7;38.3;1;34
"Abborre rå";1253;"Fisk, skaldjur";86;359;0.6;19.8;0;0;78.6;0;1;0;0;0;0;0;0;0.1;0;0;0;0.1;0;0;0.1;0;0;0.2;0;0;0;0;0;0.1;77.8;15.4;15.4;0;21.4;0.7;0.4;0.15;0.11;5.25;8.9;0.46;11.6;3.49;0;219;8;0.2;16;389;27;33;0.1;44.1;0.5;60
"Lax odlad Norge fjordlax rå";1255;"Fisk, skaldjur";210;878;14.1;20.2;0.7;0;63.8;0;1.2;0;0;0;0;0;0;1.9;0;0;0.3;1.2;0.3;0;6.7;0.3;5.5;4.1;1.8;0.8;0.1;0.3;0.1;0.6;63.9;3.7;3.7;0;7.37;4.6;9.1;0.29;0.08;8.03;11.4;0.63;5.3;5.25;0;234;17.3;0.2;5;354;26;37;0.1;16.8;0.3;35
"Öring Sverige rå";1256;"Fisk, skaldjur";115;481;2.9;22;0;0;73.7;0;1.3;0;0;0;0;0;0;0.6;0;0;0.1;0.4;0.1;0;1;0.2;0.8;0.9;0.1;0;0.1;0.1;0.1;0.4;39;3.8;3.8;0;13.2;0.3;0.4;0.05;0.09;7.94;12;0.59;10.4;2.45;0;248;47;0.3;5;517;28;26;0.1;25.4;0.3;30
"Lake rå";1257;"Fisk, skaldjur";71;297;0.4;16.5;0;0;81;0;1;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0.1;0;0.1;0.1;0;0;0;0;0;0.1;53.1;0;0;0;4.9;0.2;;0.13;0.1;2.89;5.9;0.24;14.9;4.43;0;176;44;0.3;14;373;21;74;0.2;27.3;0.7;45
"Rödspätta rå";1258;"Fisk, skaldjur";91;382;0.6;21.1;0;0;77.1;0;1.2;0;0;0;0;0;0;0.1;0;0;0;0.1;0;0;0.1;0;0;0.2;0;0;0;0.1;0;0.1;55.9;0;0;0;1.97;0.4;0.4;0.36;0.08;5.44;9.3;0.29;11.9;0.7;0;185;32;0.1;12;412;24;100;0.2;29;0.4;49
"Sik rå";1259;"Fisk, skaldjur";90;379;0.6;20.9;0;0;77.2;0;1.3;0;0;0;0;0;0;0.1;0;0;0;0.1;0;0;0.1;0;0.1;0.2;0;0;0;0;0;0.1;47.3;0;0;0;8;0.4;0.5;0.1;0.06;6.22;10;0.51;10.7;3.22;0;248;11;0.2;12;485;28;42;0.1;24.9;0.4;40
"Makrill rå";1260;"Fisk, skaldjur";290;1214;25;17;0;0;55;0;1;0;0;0;0;0;0;5.3;0;0;1.6;3;0.5;0;9.1;0.9;2.9;7.2;0.4;0.3;0.4;1.8;0.3;2.8;48.8;15;15;0;5.4;0.4;0;0.1;0.28;8.3;11.4;0.61;0;7.4;0;194;63;0.8;15;367;24;43;0.1;60;0.6;41
"Regnbågslax odlad rå";1261;"Fisk, skaldjur";106;443;3.5;18.1;0.4;0;76.9;0;1.1;0;0;0;0;0;0;0.4;0;0;0;0.3;0.1;0;1.2;0.1;1;0.8;0.3;0.1;0;0;0;0.2;60.9;21.1;21.1;0;6.68;1.3;2.4;0.15;0.08;2.84;5.9;0.35;7.6;5.41;0;208;6.6;0.2;15;374;25;46;0.1;12.4;0.3;38
"Gädda rå";1262;"Fisk, skaldjur";84;353;0.2;20.2;0;0;78.3;0;1.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0.1;46.7;0;0;0;5.31;0.5;0.4;0.05;0.05;3.02;6.7;0.3;10;1.77;0;239;12;0.2;47;463;29;43;0.1;19.7;0.8;47
"Gös rå";1263;"Fisk, skaldjur";84;351;0.2;20.2;0;0;78.5;0;1.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;63.2;0;0;0;29;0.5;0.4;0.04;0.09;1.9;5.6;0.19;13.7;1.55;0;201;23;0.1;9;444;27;46;0.1;22.6;0.4;44
"Ansjovis skarpsill konserv. ";1265;"Fisk, skaldjur";215;898;13.1;12.5;11.8;0;53;0;9.6;2.9;0.2;2.7;3;3;0;3;0;0;0.9;1.8;0.1;0;5.4;0.7;1.7;3.4;0.3;0.2;0;0.7;0.1;1.2;90;54;54;0;14;0.6;;0.02;0.16;2.2;4.49;0.45;5;10;0;141;41.5;1.3;99;145;13;2750;6.9;20;1.8;28
"Böckling varmrökt";1266;"Fisk, skaldjur";199;834;12.8;21.2;0;0;62.8;0;3.2;0;0;0;0;0;0;3.8;0;0;1.1;2.5;0.1;0;3.9;0.9;2.8;3.8;0.9;0.5;0.1;0.6;0;0.8;93.4;55;55;0;9.6;0.3;;0;0.27;4.3;8.19;0.27;19;13;0;181;16;1.2;38;375;29;845;2.1;19;1;41
"Fisk torkad";1267;"Fisk, skaldjur";333;1395;1.4;79;0;0;14.8;0;4.8;0;0;0;0;0;0;0.3;0;0;0;0.2;0;0;0.1;0;0.1;0.6;0;0;0;0.1;0;0.4;180;40;40;0;2.4;0.5;;0.03;0.1;9;23.48;0.2;14;1;0;450;155;2.5;160;1400;120;240;0.6;20;2;15
"Lax kallrökt";1269;"Fisk, skaldjur";173;724;9.8;20;1.3;0;65.1;0;3.8;0;0;0;0;0;0;1.4;0;0;0.2;0.9;0.2;0;4.4;0.2;3.6;3.1;1.2;0.7;0.1;0.2;0.1;0.5;62.7;2.7;2.7;0;5.24;3.2;5.2;0.29;0.09;8.87;12.2;0.55;4.5;4.87;0;244;12.3;0.2;7;379;26;1100;2.8;21.8;0.3;12
"Sardeller konserv.";1270;"Fisk, skaldjur";170;713;10.3;19.2;0.3;0;58.6;0;11.6;0;0;0;0;0;0;2.6;0;0.1;0.6;1.6;0.2;0;3.3;0.6;1.6;2.3;0.2;0;0.2;0.7;0;0.9;50;50;50;0;12.36;0.7;;0.02;0.16;2.2;5.72;0.14;5;10;0;210;41.5;1.3;168;144;13;2742;6.8;20;1.8;0
"Sardiner i olja konserv.";1271;"Fisk, skaldjur";284;1189;21.1;24;0;0;53;0;1.9;0;0;0;0;0;0;4.6;0;0;0.6;3;0.7;0.1;4.5;0.7;3.3;10.9;5.8;0.9;0.1;1.4;0.2;1.5;80;114.3;113;16;15;1.7;;0.12;0.39;6.7;11.1;0.18;16;11.5;0;300;41.5;2.8;191;560;39;510;1.3;35;2;13
"Sardiner i tomatsås konserv.";1272;"Pålägg";217;906;14.8;20.5;0.6;0;62;0;2.1;0.7;0.7;0;0;0;0;3.7;0;0;0.9;2.3;0.3;0;5.3;0.9;2.3;5;0.2;0.2;0.1;1.2;0.1;1.8;70;236.8;146;1090;12;2.3;;0.04;0.33;5.9;9.66;0.16;16;7.8;0;250;22.3;3.6;174;375;37;460;1.2;35;2.1;0
"Saltsill rå";1273;"Fisk, skaldjur";245;1026;19;19;0;0;47;0;15;0;0;0;0;0;0;4.3;0;0;1.3;2.6;0.2;0;7.9;1.1;2.4;4.9;0.4;0.3;0.1;1.1;0.1;1.7;90;30.2;30;3;8.3;2.3;;0.03;0.3;5.5;8.98;0.22;5;6.1;0;180;20;0.8;79;190;24;5900;14.8;22;1;31
"Saltströmming rå";1274;"Fisk, skaldjur";162;677;7.5;23.5;0;0;54;0;15;0;0;0;0;0;0;2;0;0;0.5;1.4;0.1;0;2.4;0.6;1.6;2.3;0.4;0.2;0;0.4;0;0.7;90;42.4;42;5;9.2;2;;0.03;0.3;6;10.31;0.22;5;11.5;0;340;205;0.9;24;190;45;5900;14.8;22;1;42
"Tonfisk i olja konserv. avrunnen";1275;"Fisk, skaldjur";189;789;9.9;24.9;0;0;63.4;0;1.8;0;0;0;0;0;0;1.2;0;0;0;0.7;0.3;0;2.4;0;2.3;5.3;5;0;0;0;0;0.2;45.3;5.9;5.9;0;4.42;5.5;1.7;0.01;0.09;13.5;18.1;0.65;14;2.69;0;224;26;0.8;17;230;32;406;1;86.6;0.8;0
"Ål varmrökt rundrökt";1277;"Fisk, skaldjur";347;1453;30.5;19.1;0;0;48.3;0;2.1;0;0;0;0;0;0;7.3;0;0;0.8;5.1;1.2;0;13.3;2.7;10.1;6.8;0.6;0.2;0.7;1.3;1;1.8;131.7;3300;3300;0;48;9;;0.18;0.31;3.2;6.7;0.18;29;4.3;0;183;60;0.5;26;214;10;583;1.5;59.6;3.5;30
"Tonfisk i vatten konserv. avrunnen";1278;"Fisk, skaldjur";106;444;1;24.1;0;0;74.1;0;1.5;0;0;0;0;0;0;0.2;0;0;0;0.1;0.1;0;0.1;0;0.1;0.3;0;0;0;0;0;0.2;55.9;7.6;7.6;0;4.2;0.4;0.6;0.01;0.08;12.1;16.5;0.49;4.6;2.53;0;206;26;1.3;15;220;28;384;1;77;0.9;0
"Makrill urtagen varmrökt";1279;"Fisk, skaldjur";296;1236;24.5;19.4;0;0;53.9;0;2.2;0;0;0;0;0;0;5.3;0;0;1.6;3;0.5;0;10;1.1;2.6;6.7;0.5;0.4;0.1;1.4;0.2;2.4;88.7;76;76;0;3.5;1.6;;0.16;0.3;8.6;12.16;0.37;7.3;13;0;338;20;1.1;23;288;31;570;1.4;27.7;0.7;22
"Lutfisk rå frysvara";1280;"Fisk, skaldjur";28;118;0.3;6.3;0;0;93.1;0;0.3;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0.1;50;0;0;0;0.36;0.1;;0.01;0.01;0.9;2.06;0.02;12;0.3;0;22;2;0.2;105;3;8;35;0.1;25;0.4;10
"Sill matjessill konserv.";1281;"Fisk, skaldjur";314;1314;22.6;16;12.1;0;42.5;0;6.8;12.1;6.1;6;12;12;0;5.1;0;0;1.6;3.1;0.2;0;9.4;1.3;2.9;5.8;0.5;0.4;0.1;1.3;0.1;2;85;10;10;0;5;1;;0.02;0.16;2.2;5.13;0.45;5;10;0;200;51;1.3;43;400;35;2500;6.2;25;1.8;0
"Marulk rå";1282;"Fisk, skaldjur";65;272;0.1;15.8;0;0;82.9;0;1.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;80;80;0;1;0.5;;0.02;0.06;2;4.9;0.23;12;0.8;0;160;14;0;5;342;19;82;0.2;30;0.3;66
