"Livsmedelsverkets livsmedelsdatabas version 2023-06-13";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Näringsinnehåll per 100 gram livsmedel";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Livsmedelsnamn";"Livsmedelsnummer";"Gruppering";"Energi (kcal)";"Energi (kJ)";"Fett, totalt (g)";"Protein (g)";"Kolhydrater, tillgängliga (g)";"Fibrer (g)";"Vatten (g)";"Alkohol (g)";"Aska (g)";"Sockerarter, totalt (g)";"Monosackarider (g)";"Disackarider (g)";"Tillsatt socker (g)";"Fritt socker (g)";"Fullkorn totalt (g)";"Summa mättade fettsyror (g)";"Fettsyra 4:0-10:0 (g)";"Laurinsyra C12:0 (g)";"Myristinsyra C14:0 (g)";"Palmitinsyra C16:0 (g)";"Stearinsyra C18:0 (g)";"Arakidinsyra C20:0 (g)";"Summa enkelomättade fettsyror (g)";"Palmitoljesyra C16:1 (g)";"Oljesyra C18:1 (g)";"Summa fleromättade fettsyror (g)";"Linolsyra C18:2 (g)";"Linolensyra C18:3 (g)";"Arakidonsyra C20:4 (g)";"EPA (C20:5) (g)";"DPA (C22:5) (g)";"DHA (C22:6) (g)";"Kolesterol (mg)";"Vitamin A (RE/µg)";"Retinol (µg)";"Betakaroten/β-Karoten (µg)";"Vitamin D (µg)";"Vitamin E (mg)";"Vitamin K (µg)";"Tiamin (mg)";"Riboflavin (mg)";"Niacin (mg)";"Niacinekvivalenter (NE/mg)";"Vitamin B6 (mg)";"Folat (µg)";"Vitamin B12 (µg)";"Vitamin C (mg)";"Fosfor, P (mg)";"Jod, I (µg)";"Järn, Fe (mg)";"Kalcium, Ca (mg)";"Kalium, K (mg)";"Magnesium, Mg (mg)";"Natrium, Na (mg)";"Salt, NaCl (g)";"Selen, Se (µg)";"Zink, Zn (mg)";"Avfall (skal etc.) (%)"
"Dressing vinägrett fett 65%";62;"Rätter";586;2453;65;0.6;2.2;0;30;0;2.2;1;0.2;0.8;0;1;0;9.5;0;0;0;6.8;2.2;0.2;15.5;0;15.4;37.1;32.4;4.7;0;0;0;0;0;0;0;0;0;6.2;;0;0;0;0.1;0;0;0;0;24;0;0.3;22;22;18;780;2;0;0.1;0
"Bearnaisesås tillagad frysvara el. pulver";63;"Rätter";224;935;21;2.6;6.7;0;68;0;1.7;3.1;0.1;3;3;3;0;7.5;0.3;1;0.7;3;2.2;0.2;9.4;0.3;8.6;3.2;2.6;0.6;0;0;0;0;74;90;90;0;0.2;2.1;;0.02;0.09;0.03;0.46;0.08;5;0;0;80;26;0.3;62;96;2;520;1.3;3;0;0
"Hollandaisesås tillagad frysvara el. pulver";64;"Rätter";232;970;22;2.6;6.6;0;67;0;1.8;3.1;0.1;3;3;3;0;7.8;0.3;1;0.7;3.1;2.4;0.2;9.8;0.3;9;3.4;2.7;0.6;0;0;0;0;74;130;130;0;0.2;2.2;;0.02;0.07;0.02;0.45;0.07;5;0;0;65;;0.3;57;96;2;570;1.4;3;0;0
"Mesost fett ca 30%";66;"Pålägg";460;1923;29;11;39;0;19;0;2;39;0;39;2;2;0;19.4;3;0.9;3;8.5;3.4;0.1;6.9;0.3;6.4;0.4;0.4;0.2;0;0;0;0;96;311.2;298;158;0.1;0.6;;0.19;1.2;0.9;3.47;0.11;21;1.1;0;450;202.6;0.3;350;1090;56;290;0.7;5;0.6;0
"Messmör fett 5% berikad";68;"Pålägg";260;1086;5;7;46;0;37;0;5;48;0;48;5;5;0;3.3;0.5;0.2;0.5;1.4;0.6;0;1.2;0;1.1;0.1;0.1;0;0;0;0;0;17.6;43.6;41.7;23;0.04;0.1;2.5;0.1;1.2;0.5;2.13;0.21;12;0.4;0;320;68;5;280;1240;28;445;1.1;2.2;0.2;0
"Messmör fett 2% berikad";69;"Pålägg";245;1026;2;7;49;0;37;0;5;49;0;49;4;4;0;1.3;0.2;0.1;0.2;0.6;0.2;0;0.5;0;0.4;0;0;0;0;0;0;0;6.4;17.4;16.7;9;0.01;0;2.5;0.1;1.3;0.5;2.13;0.21;12;0.4;0;370;;5;280;1400;30;570;1.4;2.2;0.2;0
"Färskost cottage cheese naturell fett 4%";70;"Pålägg";100;419;4.3;13.4;1.9;0;79.3;0;1.1;1.6;0;1.6;0;0;0;2.8;0.3;0.1;0.5;1.3;0.4;0;1;0.1;0.9;0.2;0.1;0;0;0;0;0;17.4;45;43.3;21;0;0.1;12.2;0.01;0.16;0.08;3.2;0;30.5;0.6;0;134;5.2;0;50;54;5;270;0.7;0;0.3;0
"Färskost cottage cheese m. frukt fett 3%";71;"Pålägg";105;440;2.8;10.3;9.1;1;75.9;0;1;8.8;0.6;8.2;7;7;0;1.8;0.2;0.1;0.3;0.8;0.3;0;0.7;0;0.6;0.1;0.1;0;0;0;0;0;11.8;31.1;29.2;18;0.1;0.1;0.4;0.02;0.14;0.13;2.5;0.04;20.9;0.26;0;106;5;0.1;34;77;4;282;0.7;5.4;0.3;0
"Färskost cottage cheese m. grönsaker fett 3,5-5%";72;"Pålägg";94;393;4.2;12.2;0.9;1.7;79.3;0;1.6;1.7;0.1;1.6;0;0;0;2.7;0.4;0.1;0.4;1.2;0.4;0;1.1;0.1;1;0.2;0.1;0;0;0;0;0;15.2;55.7;47.7;84;0.1;0.3;6.4;0.02;0.19;0.15;3;0.06;22.5;0.24;0;129;6;0.1;43;92;6;491;1.2;5.8;0.4;0
"Färskost m. filmjölk fett ca 8%";73;"Pålägg";119;496;8.4;8;2.9;0;80;0;0.7;2.8;0;2.8;0;0;0;5.6;1;0.3;0.9;2.4;0.9;0;1.9;0.1;1.7;0.2;0.1;0;0;0;0;0;27;40.7;39;20;0.06;0.2;;0.02;0.14;0.1;1.97;0.03;12;0.6;0;145;10;0.1;68;134;5;28;0.1;4;0.4;0
"Färskost m. filmjölk gräddfil fett ca 14% hemlagad";74;"Pålägg";178;743;14.2;9.7;3.1;0;72.3;0;0.7;4.1;1;3.1;0;0;0;9.4;1.6;0.5;1.5;4.1;1.5;0;3.3;0.2;2.9;0.3;0.2;0.1;0;0;0;0;32;86.4;83;41;0.07;0.2;;0.04;0.15;0.06;2.32;0.03;11;0.5;0;160;10;0.1;96;140;10;35;0.1;4;0.4;0
"Kvarg färskost fett 1%";75;"Mejeri";75;314;1;12.7;3.6;0;82;0;0.7;2.9;0;2.9;0;0;0;0.7;0.1;0;0.1;0.3;0.1;0;0.2;0;0.2;0;0;0;0;0;0;0;4.6;8.7;8.3;5;0.01;0;;0.04;0.15;0.07;3.03;0.04;12;0.7;0;180;15;0.1;107;151;11;38;0.1;4;0.4;0
"Kvarg färskost fett 10%";76;"Mejeri";152;635;10;12.7;2.9;0;73.7;0;0.7;3;0.1;2.9;0;0;0;6.6;1;0.3;1;2.9;1.2;0;2.3;0.1;2.2;0.2;0.2;0.1;0;0;0;0;32;12.1;8.3;46;0.01;0;;0.04;0.15;0.07;3.03;0.04;11;0.7;0;180;15;0.1;107;151;11;38;0.1;4;0.4;0
"Ost hårdost fett 10%";77;"Pålägg";226;946;10;32.4;1.5;0;51.3;0;4.8;0;0;0;0;0;0;6.6;1;0.3;1;2.9;1.2;0;2.3;0.1;2.2;0.2;0.2;0.1;0;0;0;0;29;91;83;46;0.07;0.2;0.9;0.03;0.38;0.06;7.62;0.06;43;1.9;0;660;21;0.2;970;110;40;430;1.1;11.8;4;0
"Ost hårdost fett 23%";78;"Pålägg";325;1361;23;29.2;0.8;0;43;0;4;0;0;0;0;0;0;15.1;2.4;0.7;2.4;6.6;2.6;0;5.4;0.2;5;0.5;0.4;0.2;0;0;0;0;65;210;192;106;0.16;0.5;2.2;0.03;0.32;0.05;6.9;0.05;36;1.6;0;550;17;0.2;810;91;33;470;1.2;10.4;3.5;0
"Ost hårdost fett 26%";79;"Pålägg";337;1409;26;24.9;1.4;0;43.6;0;4.1;0;0;0;0;0;0;17;2.7;0.8;2.7;7.5;3;0;6.1;0.2;5.6;0.7;0.4;0.2;0;0;0;0;73;227;217;120;0.18;0.6;2.5;0.03;0.32;0.05;5.5;0.05;34;1.6;0;530;12;0.1;770;92;32;390;1;9.1;3;0
"Ost hårdost fett 38%";80;"Pålägg";421;1763;38;19.8;1.2;0;37.5;0;3.5;0;0;0;0;0;0;24.9;3.9;1.2;3.9;11;4.4;0.1;8.9;0.4;8.2;0.8;0.6;0.2;0;0;0;0;106;331.6;317;175;0.26;0.9;3.6;0.02;0.28;0.04;4.66;0.04;28;1.4;0;430;12;0.2;620;79;25;470;1.2;7.2;2.4;0
